especie;cenario;mlp;glmnet;brt;consenso
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0.05;0;0.025000000000000005
species;presente;0.075;0.075;0;0.049999999999999996
species;presente;0.35;0.1;0;0.15
species;presente;0.65;0.45;0;0.3666666666666667
species;presente;0.65;0.5;0;0.3833333333333333
species;presente;0.8;0.4;0.025;0.4083333333333334
species;presente;0.675;0.125;0.025;0.275
species;presente;0.725;0.05;0.05;0.275
species;presente;0.675;0.075;0.05;0.26666666666666666
species;presente;0.5;0;0.025;0.17500000000000002
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.075;0;0;0.024999999999999998
species;presente;0.15;0;0;0.049999999999999996
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.05;0;0;0.016666666666666666
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.125;0;0;0.041666666666666664
species;presente;0.2;0;0;0.06666666666666667
species;presente;0.175;0;0;0.05833333333333333
species;presente;0.25;0;0;0.08333333333333333
species;presente;0.275;0;0;0.09166666666666667
species;presente;0.35;0;0;0.11666666666666665
species;presente;0.4;0.05;0;0.15
species;presente;0.45;0.1;0;0.18333333333333335
species;presente;0.375;0.15;0;0.17500000000000002
species;presente;0.375;0.3;0;0.225
species;presente;0.35;0.5;0;0.2833333333333333
species;presente;0.375;0.525;0;0.3
species;presente;0.325;0.425;0;0.25
species;presente;0;0.1;0;0.03333333333333333
species;presente;0;0.1;0;0.03333333333333333
species;presente;0.05;0.075;0;0.041666666666666664
species;presente;0.325;0.425;0;0.25
species;presente;0.35;0.675;0;0.3416666666666666
species;presente;0.375;0.95;0;0.44166666666666665
species;presente;0.3;0.875;0;0.39166666666666666
species;presente;0.075;0.425;0;0.16666666666666666
species;presente;0;0.15;0;0.049999999999999996
species;presente;0.025;0.175;0;0.06666666666666667
species;presente;0.025;0.075;0;0.03333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.15;0.95;0;0.36666666666666664
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.025;0.025;0;0.016666666666666666
species;presente;0.025;0.075;0;0.03333333333333333
species;presente;0.125;0.425;0;0.18333333333333335
species;presente;0.2;0.575;0;0.2583333333333333
species;presente;0.45;0.7;0;0.3833333333333333
species;presente;0.725;0.475;0;0.39999999999999997
species;presente;0.75;0.425;0.05;0.4083333333333334
species;presente;0.725;0.25;0.05;0.3416666666666666
species;presente;0.75;0.1;0.05;0.3
species;presente;0.575;0.025;0.025;0.20833333333333334
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.075;0;0;0.024999999999999998
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.125;0;0;0.041666666666666664
species;presente;0.2;0;0;0.06666666666666667
species;presente;0.25;0;0;0.08333333333333333
species;presente;0.3;0;0;0.09999999999999999
species;presente;0.225;0;0;0.075
species;presente;0.15;0;0;0.049999999999999996
species;presente;0.425;0;0;0.14166666666666666
species;presente;0.425;0.075;0;0.16666666666666666
species;presente;0.35;0.1;0;0.15
species;presente;0.35;0.225;0;0.19166666666666665
species;presente;0.35;0.475;0;0.27499999999999997
species;presente;0.325;0.525;0;0.2833333333333334
species;presente;0.3;0.35;0;0.21666666666666665
species;presente;0;0.125;0;0.041666666666666664
species;presente;0;0.125;0;0.041666666666666664
species;presente;0;0.075;0;0.024999999999999998
species;presente;0.05;0.075;0;0.041666666666666664
species;presente;0.125;0.3;0;0.14166666666666666
species;presente;0.025;0.35;0;0.125
species;presente;0.025;0.35;0;0.125
species;presente;0.025;0.225;0;0.08333333333333333
species;presente;0.025;0.25;0;0.09166666666666667
species;presente;0.025;0.15;0;0.05833333333333333
species;presente;0;0.125;0;0.041666666666666664
species;presente;0;0.15;0;0.049999999999999996
species;presente;0.025;0.2;0;0.075
species;presente;0.025;0.125;0;0.049999999999999996
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.1;0;0;0.03333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.025;0.05;0;0.025000000000000005
species;presente;0.1;0.2;0;0.10000000000000002
species;presente;0.15;0.75;0;0.3
species;presente;0.3;0.85;0;0.3833333333333333
species;presente;0.575;0.7;0;0.425
species;presente;0.725;0.45;0;0.39166666666666666
species;presente;0.75;0.475;0.05;0.42500000000000004
species;presente;0.775;0.25;0.05;0.35833333333333334
species;presente;0.45;0;0.025;0.15833333333333335
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.05;0;0;0.016666666666666666
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.1;0;0;0.03333333333333333
species;presente;0.15;0;0;0.049999999999999996
species;presente;0.3;0;0;0.09999999999999999
species;presente;0.275;0;0;0.09166666666666667
species;presente;0.2;0;0;0.06666666666666667
species;presente;0.175;0;0;0.05833333333333333
species;presente;0.2;0;0;0.06666666666666667
species;presente;0.35;0;0;0.11666666666666665
species;presente;0.35;0.075;0;0.14166666666666666
species;presente;0.375;0.175;0;0.18333333333333335
species;presente;0.375;0.3;0;0.225
species;presente;0.325;0.5;0;0.27499999999999997
species;presente;0.275;0.275;0;0.18333333333333335
species;presente;0.3;0.175;0;0.15833333333333333
species;presente;0;0.125;0;0.041666666666666664
species;presente;0;0.2;0;0.06666666666666667
species;presente;0;0.225;0;0.075
species;presente;0;0.1;0;0.03333333333333333
species;presente;0;0.075;0;0.024999999999999998
species;presente;0.025;0.075;0;0.03333333333333333
species;presente;0.025;0.15;0;0.05833333333333333
species;presente;0.025;0.275;0;0.10000000000000002
species;presente;0.025;0.15;0;0.05833333333333333
species;presente;0.025;0.125;0;0.049999999999999996
species;presente;0.025;0.125;0;0.049999999999999996
species;presente;0.025;0.05;0;0.025000000000000005
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0.025;0;0.016666666666666666
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.025;0.075;0;0.03333333333333333
species;presente;0.1;0.2;0;0.10000000000000002
species;presente;0.15;0.65;0;0.26666666666666666
species;presente;0.275;0.875;0;0.3833333333333333
species;presente;0.475;0.775;0;0.4166666666666667
species;presente;0.6;0.475;0;0.35833333333333334
species;presente;0.7;0.475;0;0.3916666666666666
species;presente;0.875;0.225;0.05;0.38333333333333336
species;presente;0.075;0;0;0.024999999999999998
species;presente;0;0;0;0
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.1;0;0;0.03333333333333333
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.1;0;0;0.03333333333333333
species;presente;0.125;0;0;0.041666666666666664
species;presente;0.175;0;0;0.05833333333333333
species;presente;0.25;0;0;0.08333333333333333
species;presente;0.25;0;0;0.08333333333333333
species;presente;0.125;0;0;0.041666666666666664
species;presente;0.225;0;0;0.075
species;presente;0.35;0;0;0.11666666666666665
species;presente;0.25;0;0;0.08333333333333333
species;presente;0.375;0.05;0;0.14166666666666666
species;presente;0.35;0.125;0;0.15833333333333333
species;presente;0.35;0.25;0;0.19999999999999998
species;presente;0.3;0.35;0;0.21666666666666665
species;presente;0.275;0.275;0;0.18333333333333335
species;presente;0.3;0.25;0;0.18333333333333335
species;presente;0.35;0.425;0;0.2583333333333333
species;presente;0.35;0.25;0;0.19999999999999998
species;presente;0;0.225;0;0.075
species;presente;0;0.225;0;0.075
species;presente;0;0.175;0;0.05833333333333333
species;presente;0;0.1;0;0.03333333333333333
species;presente;0;0.075;0;0.024999999999999998
species;presente;0;0.075;0;0.024999999999999998
species;presente;0;0;0;0
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0.05;0;0.025000000000000005
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.25;0.075;0;0.10833333333333334
species;presente;0.425;0.2;0;0.20833333333333334
species;presente;0.375;0.55;0;0.30833333333333335
species;presente;0.4;0.85;0;0.4166666666666667
species;presente;0.45;0.85;0;0.43333333333333335
species;presente;0.55;0.6;0;0.3833333333333333
species;presente;0.7;0.3;0;0.3333333333333333
species;presente;0.775;0.125;0.05;0.3166666666666667
species;presente;0.125;0;0;0.041666666666666664
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.2;0;0;0.06666666666666667
species;presente;0.275;0;0;0.09166666666666667
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.075;0;0;0.024999999999999998
species;presente;0.1;0;0;0.03333333333333333
species;presente;0.1;0;0;0.03333333333333333
species;presente;0.175;0;0;0.05833333333333333
species;presente;0.3;0;0;0.09999999999999999
species;presente;0.35;0;0;0.11666666666666665
species;presente;0.3;0;0;0.09999999999999999
species;presente;0.325;0;0;0.10833333333333334
species;presente;0.275;0;0;0.09166666666666667
species;presente;0.325;0;0;0.10833333333333334
species;presente;0.375;0.05;0;0.14166666666666666
species;presente;0.375;0.1;0;0.15833333333333333
