species;scenario;mda;rbf;svm;consensus
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;1;0;0;0
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;0;0
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;1;0
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;1;0;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;0;0;0
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;0;0
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;1;1;0;1
clssm_mcrp;mr_ssp245_10_2090;0;1;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;0;1;0
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;1;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;1;0;0;0
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;1;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;1;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;0;1;1
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;1;0
clssm_mcrp;mr_ssp245_10_2090;0;1;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;1;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;1;1;1
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;1;0
clssm_mcrp;mr_ssp245_10_2090;0;0;1;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
clssm_mcrp;mr_ssp245_10_2090;0;0;0;0
